stud.id,semester,major,minor,math_score,statistics_score,math_grade,statistics_grade
618749,>6th,Economics and Finance,Environmental Sciences,68,74,g. 04,g. 04
274764,3rd,Social Sciences,Environmental Sciences,52,42,g. 02,g. 12
867490,6th,Mathematics and Statistics,Environmental Sciences,90,92,g. 12,g. 12
693582,4th,Social Sciences,Political Science,39,54,g. 00,g. 00
301810,4th,Political Science,Biology,58,60,g. 02,g. 02
950895,>6th,Political Science,Environmental Sciences,48,54,g. 00,g. 00
198996,4th,Political Science,Mathematics and Statistics,47,52,g. 00,g. 00
135634,5th,Mathematics and Statistics,Social Sciences,87,92,g. 10,g. 10
696427,3rd,Biology,Mathematics and Statistics,76,79,g. 07,g. 07
700157,6th,Social Sciences,Economics and Finance,45,39,g. 00,g. 00
294383,4th,Economics and Finance,Environmental Sciences,68,70,g. 04,g. 04
613446,3rd,Environmental Sciences,Biology,74,65,g. 07,g. 12
919801,3rd,Economics and Finance,Environmental Sciences,67,57,g. 04,g. 12
729695,6th,Environmental Sciences,Economics and Finance,75,74,g. 07,g. 07
479694,4th,Social Sciences,Environmental Sciences,48,47,g. 00,g. 00
700769,5th,Social Sciences,Economics and Finance,33,44,g. 00,g. 00
684669,4th,Social Sciences,Political Science,46,44,g. 00,g. 00
166710,3rd,Environmental Sciences,Political Science,67,75,g. 04,g. 04
424180,5th,Biology,Political Science,79,74,g. 07,g. 07
182816,6th,Environmental Sciences,Biology,77,73,g. 07,g. 07
917500,4th,Political Science,Economics and Finance,54,62,g. 02,g. 02
488048,3rd,Economics and Finance,Political Science,59,62,g. 02,g. 02
347941,3rd,Social Sciences,Political Science,39,43,g. 00,g. 00
844754,5th,Biology,Social Sciences,74,75,g. 07,g. 07
134696,4th,Mathematics and Statistics,Political Science,88,89,g. 10,g. 10
927424,4th,Biology,Economics and Finance,79,83,g. 07,g. 07
980077,3rd,Political Science,Economics and Finance,55,61,g. 02,g. 02
891520,3rd,Political Science,Biology,63,56,g. 04,g. 12
914658,3rd,Political Science,Environmental Sciences,53,61,g. 02,g. 02
957866,5th,Biology,Mathematics and Statistics,79,86,g. 07,g. 07
761485,5th,Social Sciences,Mathematics and Statistics,45,41,g. 00,g. 00
635499,5th,Political Science,Mathematics and Statistics,49,53,g. 00,g. 00
822456,4th,Mathematics and Statistics,Social Sciences,95,91,g. 12,g. 12
650299,5th,Biology,Political Science,76,83,g. 07,g. 07
938118,3rd,Environmental Sciences,Economics and Finance,67,72,g. 04,g. 04
529167,5th,Economics and Finance,Political Science,71,74,g. 07,g. 07
454112,3rd,Environmental Sciences,Economics and Finance,65,71,g. 04,g. 04
645786,3rd,Social Sciences,Environmental Sciences,45,43,g. 00,g. 00
137160,3rd,Political Science,Environmental Sciences,51,55,g. 02,g. 02
159416,4th,Economics and Finance,Biology,63,67,g. 04,g. 04
862180,3rd,Biology,Political Science,83,78,g. 10,g. 12
118892,4th,Economics and Finance,Political Science,65,69,g. 04,g. 04
839779,3rd,Social Sciences,Environmental Sciences,44,49,g. 00,g. 00
468494,3rd,Economics and Finance,Biology,69,63,g. 04,g. 04
839969,4th,Environmental Sciences,Mathematics and Statistics,75,75,g. 07,g. 07
430239,5th,Social Sciences,Biology,48,54,g. 00,g. 00
673944,>6th,Environmental Sciences,Social Sciences,70,76,g. 07,g. 07
167692,4th,Mathematics and Statistics,Social Sciences,90,89,g. 12,g. 12
462645,4th,Environmental Sciences,Biology,70,75,g. 07,g. 07
872356,3rd,Environmental Sciences,Political Science,70,77,g. 07,g. 07
596720,5th,Environmental Sciences,Economics and Finance,79,72,g. 07,g. 07
908840,3rd,Social Sciences,Political Science,45,48,g. 00,g. 00
755521,3rd,Political Science,Environmental Sciences,66,54,g. 04,g. 12
954089,6th,Political Science,Social Sciences,57,57,g. 02,g. 02
928264,3rd,Biology,Mathematics and Statistics,78,88,g. 07,g. 07
406787,3rd,Social Sciences,Biology,43,43,g. 00,g. 00
167038,3rd,Biology,Mathematics and Statistics,80,79,g. 10,g. 12
186261,6th,Political Science,Mathematics and Statistics,57,60,g. 02,g. 02
908371,5th,Social Sciences,Environmental Sciences,41,43,g. 00,g. 00
696080,6th,Economics and Finance,Political Science,59,74,g. 02,g. 02
454652,6th,Social Sciences,Environmental Sciences,45,42,g. 00,g. 00
212641,4th,Environmental Sciences,Biology,74,77,g. 07,g. 07
527962,3rd,Biology,Political Science,73,74,g. 07,g. 07
805087,5th,Biology,Economics and Finance,79,82,g. 07,g. 07
590941,6th,Mathematics and Statistics,Economics and Finance,92,90,g. 12,g. 12
416436,3rd,Biology,Environmental Sciences,69,81,g. 04,g. 04
317102,5th,Social Sciences,Environmental Sciences,40,45,g. 00,g. 00
313685,5th,Economics and Finance,Social Sciences,72,70,g. 07,g. 07
318215,3rd,Political Science,Social Sciences,59,59,g. 02,g. 02
173843,3rd,Environmental Sciences,Biology,68,73,g. 04,g. 04
634712,5th,Biology,Economics and Finance,76,81,g. 07,g. 07
602204,4th,Social Sciences,Political Science,40,46,g. 00,g. 00
497782,6th,Economics and Finance,Mathematics and Statistics,68,68,g. 04,g. 04
242731,5th,Economics and Finance,Political Science,63,64,g. 04,g. 04
839310,5th,Economics and Finance,Social Sciences,69,71,g. 04,g. 04
886742,6th,Political Science,Mathematics and Statistics,52,58,g. 02,g. 02
593581,5th,Biology,Mathematics and Statistics,71,72,g. 07,g. 07
808854,3rd,Biology,Environmental Sciences,76,79,g. 07,g. 07
683129,>6th,Political Science,Environmental Sciences,55,65,g. 02,g. 02
453319,4th,Social Sciences,Environmental Sciences,55,49,g. 02,g. 12
734249,4th,Economics and Finance,Political Science,65,61,g. 04,g. 04
384808,6th,Biology,Mathematics and Statistics,77,79,g. 07,g. 07
617347,5th,Environmental Sciences,Social Sciences,65,87,g. 04,g. 04
333878,4th,Environmental Sciences,Social Sciences,71,77,g. 07,g. 07
228748,4th,Economics and Finance,Biology,68,67,g. 04,g. 04
323174,4th,Political Science,Economics and Finance,63,61,g. 04,g. 04
829313,5th,Mathematics and Statistics,Economics and Finance,92,92,g. 12,g. 12
349592,3rd,Mathematics and Statistics,Political Science,89,92,g. 10,g. 10
932572,6th,Political Science,Economics and Finance,44,58,g. 00,g. 00
162363,3rd,Biology,Political Science,81,79,g. 10,g. 12
388548,4th,Environmental Sciences,Political Science,76,74,g. 07,g. 07
704909,3rd,Mathematics and Statistics,Social Sciences,88,91,g. 10,g. 10
340784,3rd,Environmental Sciences,Biology,67,72,g. 04,g. 04
778778,3rd,Biology,Environmental Sciences,80,72,g. 10,g. 12
671261,6th,Biology,Political Science,70,76,g. 07,g. 07
534172,5th,Environmental Sciences,Biology,68,73,g. 04,g. 04
157644,3rd,Political Science,Economics and Finance,50,50,g. 02,g. 02
862277,>6th,Biology,Social Sciences,76,74,g. 07,g. 07
136060,4th,Biology,Economics and Finance,81,71,g. 10,g. 12
253983,5th,Mathematics and Statistics,Economics and Finance,89,87,g. 10,g. 10
334969,>6th,Biology,Mathematics and Statistics,77,87,g. 07,g. 07
530372,3rd,Biology,Economics and Finance,74,80,g. 07,g. 07
343331,5th,Economics and Finance,Biology,67,68,g. 04,g. 04
325501,3rd,Social Sciences,Biology,43,46,g. 00,g. 00
750556,5th,Environmental Sciences,Biology,82,72,g. 10,g. 12
962778,3rd,Political Science,Economics and Finance,55,52,g. 02,g. 02
833332,5th,Biology,Mathematics and Statistics,76,83,g. 07,g. 07
480648,3rd,Environmental Sciences,Biology,71,69,g. 07,g. 12
755721,5th,Political Science,Environmental Sciences,58,51,g. 02,g. 02
525437,3rd,Environmental Sciences,Biology,74,72,g. 07,g. 07
962233,6th,Political Science,Biology,50,61,g. 02,g. 02
580061,3rd,Political Science,Mathematics and Statistics,60,60,g. 04,g. 04
451961,6th,Environmental Sciences,Political Science,74,80,g. 07,g. 07
869758,6th,Social Sciences,Economics and Finance,41,44,g. 00,g. 00
677662,4th,Biology,Economics and Finance,78,78,g. 07,g. 07
906704,5th,Environmental Sciences,Political Science,74,71,g. 07,g. 07
111469,>6th,Biology,Social Sciences,83,74,g. 10,g. 12
555391,3rd,Biology,Economics and Finance,77,73,g. 07,g. 07
336786,6th,Political Science,Economics and Finance,55,50,g. 02,g. 02
782026,3rd,Mathematics and Statistics,Economics and Finance,92,93,g. 12,g. 12
163988,3rd,Mathematics and Statistics,Political Science,93,86,g. 12,g. 12
960701,6th,Environmental Sciences,Economics and Finance,72,80,g. 07,g. 07
900081,3rd,Environmental Sciences,Mathematics and Statistics,82,74,g. 10,g. 12
808356,4th,Political Science,Social Sciences,54,61,g. 02,g. 02
859612,4th,Political Science,Economics and Finance,51,57,g. 02,g. 02
810123,3rd,Biology,Social Sciences,75,81,g. 07,g. 07
763041,3rd,Political Science,Economics and Finance,58,44,g. 02,g. 12
323872,4th,Economics and Finance,Social Sciences,74,70,g. 07,g. 07
417696,3rd,Economics and Finance,Mathematics and Statistics,58,74,g. 02,g. 02
250470,6th,Economics and Finance,Biology,58,54,g. 02,g. 02
178505,4th,Social Sciences,Political Science,45,49,g. 00,g. 00
828354,3rd,Social Sciences,Political Science,39,44,g. 00,g. 00
952431,4th,Environmental Sciences,Mathematics and Statistics,67,75,g. 04,g. 04
598030,>6th,Biology,Economics and Finance,78,75,g. 07,g. 07
380939,3rd,Political Science,Environmental Sciences,56,53,g. 02,g. 02
659359,5th,Economics and Finance,Political Science,68,71,g. 04,g. 04
950259,3rd,Economics and Finance,Environmental Sciences,67,69,g. 04,g. 04
759021,5th,Mathematics and Statistics,Biology,88,91,g. 10,g. 10
670987,5th,Mathematics and Statistics,Social Sciences,89,93,g. 10,g. 10
800939,3rd,Mathematics and Statistics,Social Sciences,93,93,g. 12,g. 12
520344,3rd,Economics and Finance,Political Science,65,72,g. 04,g. 04
956026,3rd,Economics and Finance,Environmental Sciences,65,66,g. 04,g. 04
916802,3rd,Social Sciences,Economics and Finance,42,44,g. 00,g. 00
723754,3rd,Biology,Environmental Sciences,81,76,g. 10,g. 12
726681,>6th,Political Science,Mathematics and Statistics,53,48,g. 02,g. 12
398618,5th,Biology,Political Science,75,73,g. 07,g. 07
407189,5th,Mathematics and Statistics,Political Science,91,91,g. 12,g. 12
892530,3rd,Economics and Finance,Biology,67,69,g. 04,g. 04
788223,3rd,Biology,Mathematics and Statistics,83,91,g. 10,g. 10
434279,4th,Political Science,Social Sciences,48,58,g. 00,g. 00
275951,4th,Economics and Finance,Social Sciences,52,62,g. 02,g. 02
468567,3rd,Biology,Social Sciences,65,72,g. 04,g. 04
560475,4th,Political Science,Biology,54,56,g. 02,g. 02
383269,6th,Political Science,Mathematics and Statistics,56,57,g. 02,g. 02
899338,4th,Social Sciences,Environmental Sciences,44,40,g. 00,g. 00
461293,4th,Economics and Finance,Mathematics and Statistics,67,68,g. 04,g. 04
483836,4th,Economics and Finance,Biology,77,66,g. 07,g. 12
388989,4th,Environmental Sciences,Social Sciences,63,74,g. 04,g. 04
927263,3rd,Environmental Sciences,Political Science,66,74,g. 04,g. 04
806745,>6th,Biology,Economics and Finance,78,85,g. 07,g. 07
491689,3rd,Political Science,Environmental Sciences,48,60,g. 00,g. 00
193276,4th,Biology,Mathematics and Statistics,77,78,g. 07,g. 07
947163,3rd,Environmental Sciences,Mathematics and Statistics,74,75,g. 07,g. 07
820879,3rd,Political Science,Social Sciences,49,62,g. 00,g. 00
622021,3rd,Social Sciences,Mathematics and Statistics,41,40,g. 00,g. 00
613765,3rd,Environmental Sciences,Political Science,78,77,g. 07,g. 07
224074,5th,Political Science,Environmental Sciences,53,54,g. 02,g. 02
273498,3rd,Biology,Economics and Finance,83,80,g. 10,g. 10
354506,3rd,Environmental Sciences,Political Science,63,68,g. 04,g. 04
984718,3rd,Biology,Mathematics and Statistics,75,87,g. 07,g. 07
624714,6th,Economics and Finance,Biology,62,65,g. 04,g. 04
334543,3rd,Political Science,Economics and Finance,52,59,g. 02,g. 02
347889,5th,Economics and Finance,Biology,64,62,g. 04,g. 04
891453,5th,Social Sciences,Environmental Sciences,47,48,g. 00,g. 00
835316,3rd,Biology,Economics and Finance,77,78,g. 07,g. 07
895670,3rd,Economics and Finance,Social Sciences,65,63,g. 04,g. 04
679986,6th,Mathematics and Statistics,Social Sciences,91,85,g. 12,g. 12
840032,3rd,Biology,Economics and Finance,70,74,g. 07,g. 07
428264,4th,Economics and Finance,Political Science,68,67,g. 04,g. 04
395820,4th,Environmental Sciences,Social Sciences,71,61,g. 07,g. 12
670765,4th,Social Sciences,Biology,46,43,g. 00,g. 00
827353,>6th,Environmental Sciences,Political Science,71,83,g. 07,g. 07
377251,3rd,Biology,Social Sciences,73,81,g. 07,g. 07
814198,3rd,Mathematics and Statistics,Political Science,84,92,g. 10,g. 10
451408,4th,Environmental Sciences,Mathematics and Statistics,73,74,g. 07,g. 07
646258,4th,Environmental Sciences,Political Science,71,75,g. 07,g. 07
231983,3rd,Economics and Finance,Mathematics and Statistics,57,66,g. 02,g. 02
601255,>6th,Social Sciences,Biology,41,49,g. 00,g. 00
501904,3rd,Social Sciences,Environmental Sciences,38,39,g. 00,g. 00
317857,6th,Economics and Finance,Mathematics and Statistics,65,68,g. 04,g. 04
977096,5th,Environmental Sciences,Political Science,69,72,g. 04,g. 04
225865,5th,Economics and Finance,Political Science,72,70,g. 07,g. 07
351105,4th,Economics and Finance,Biology,73,65,g. 07,g. 12
445948,5th,Mathematics and Statistics,Environmental Sciences,87,87,g. 10,g. 10
656363,3rd,Social Sciences,Biology,46,37,g. 00,g. 00
469849,5th,Economics and Finance,Mathematics and Statistics,70,63,g. 07,g. 12
426940,4th,Biology,Mathematics and Statistics,78,78,g. 07,g. 07
263536,6th,Social Sciences,Environmental Sciences,45,50,g. 00,g. 00
826102,5th,Economics and Finance,Biology,62,67,g. 04,g. 04
841298,3rd,Economics and Finance,Political Science,69,81,g. 04,g. 04
198362,4th,Biology,Social Sciences,77,76,g. 07,g. 07
748309,5th,Biology,Environmental Sciences,85,90,g. 10,g. 10
304903,3rd,Mathematics and Statistics,Social Sciences,84,83,g. 10,g. 10
895251,6th,Mathematics and Statistics,Environmental Sciences,92,91,g. 12,g. 12
458176,3rd,Mathematics and Statistics,Biology,91,90,g. 12,g. 12
435115,6th,Economics and Finance,Mathematics and Statistics,70,77,g. 07,g. 07
199903,4th,Biology,Environmental Sciences,73,80,g. 07,g. 07
934141,5th,Political Science,Environmental Sciences,46,62,g. 00,g. 00
651987,6th,Mathematics and Statistics,Social Sciences,89,92,g. 10,g. 10
271433,6th,Social Sciences,Mathematics and Statistics,48,43,g. 00,g. 00
455769,6th,Mathematics and Statistics,Environmental Sciences,89,83,g. 10,g. 10
226857,3rd,Social Sciences,Biology,50,44,g. 02,g. 12
361644,5th,Political Science,Social Sciences,54,50,g. 02,g. 02
202614,3rd,Mathematics and Statistics,Biology,85,91,g. 10,g. 10
249189,6th,Environmental Sciences,Economics and Finance,74,73,g. 07,g. 07
375973,3rd,Biology,Social Sciences,78,83,g. 07,g. 07
360430,4th,Political Science,Biology,49,48,g. 00,g. 00
176318,6th,Economics and Finance,Environmental Sciences,67,65,g. 04,g. 04
453023,3rd,Biology,Environmental Sciences,76,74,g. 07,g. 07
676173,3rd,Biology,Environmental Sciences,82,84,g. 10,g. 10
947847,4th,Environmental Sciences,Economics and Finance,82,66,g. 10,g. 12
320673,3rd,Social Sciences,Mathematics and Statistics,46,55,g. 00,g. 00
873076,5th,Environmental Sciences,Political Science,74,74,g. 07,g. 07
936548,6th,Biology,Social Sciences,83,76,g. 10,g. 12
930920,3rd,Social Sciences,Political Science,45,44,g. 00,g. 00
148809,6th,Biology,Environmental Sciences,79,83,g. 07,g. 07
966715,>6th,Environmental Sciences,Political Science,67,74,g. 04,g. 04
806474,3rd,Political Science,Biology,59,50,g. 02,g. 02
481418,5th,Mathematics and Statistics,Environmental Sciences,87,89,g. 10,g. 10
276165,5th,Economics and Finance,Biology,63,74,g. 04,g. 04
547954,4th,Biology,Political Science,72,79,g. 07,g. 07
741085,3rd,Environmental Sciences,Biology,70,77,g. 07,g. 07
850691,4th,Political Science,Mathematics and Statistics,59,52,g. 02,g. 02
483024,3rd,Social Sciences,Political Science,43,50,g. 00,g. 00
505652,5th,Environmental Sciences,Political Science,66,71,g. 04,g. 04
894127,5th,Social Sciences,Mathematics and Statistics,53,46,g. 02,g. 12
228580,4th,Social Sciences,Economics and Finance,46,47,g. 00,g. 00
712039,5th,Economics and Finance,Social Sciences,68,64,g. 04,g. 04
248311,4th,Biology,Environmental Sciences,80,74,g. 10,g. 12
149248,6th,Social Sciences,Mathematics and Statistics,46,45,g. 00,g. 00
979289,4th,Political Science,Environmental Sciences,55,58,g. 02,g. 02
403401,>6th,Political Science,Social Sciences,60,58,g. 04,g. 12
149540,>6th,Political Science,Social Sciences,55,58,g. 02,g. 02
831973,>6th,Biology,Mathematics and Statistics,74,80,g. 07,g. 07
165377,6th,Environmental Sciences,Political Science,74,69,g. 07,g. 12
334132,4th,Social Sciences,Economics and Finance,45,44,g. 00,g. 00
720187,3rd,Environmental Sciences,Political Science,73,76,g. 07,g. 07
492136,6th,Biology,Political Science,72,81,g. 07,g. 07
897152,3rd,Mathematics and Statistics,Social Sciences,85,92,g. 10,g. 10
232713,4th,Biology,Political Science,73,84,g. 07,g. 07
919151,4th,Economics and Finance,Biology,68,72,g. 04,g. 04
754728,3rd,Political Science,Mathematics and Statistics,55,54,g. 02,g. 02
579104,5th,Environmental Sciences,Social Sciences,65,76,g. 04,g. 04
458881,6th,Economics and Finance,Biology,73,71,g. 07,g. 07
654710,6th,Economics and Finance,Social Sciences,71,60,g. 07,g. 12
670749,3rd,Social Sciences,Mathematics and Statistics,45,35,g. 00,g. 00
681269,>6th,Social Sciences,Environmental Sciences,51,46,g. 02,g. 12
199068,5th,Social Sciences,Economics and Finance,56,51,g. 02,g. 02
706940,3rd,Environmental Sciences,Political Science,64,80,g. 04,g. 04
240345,3rd,Social Sciences,Mathematics and Statistics,53,38,g. 02,g. 12
217292,3rd,Biology,Economics and Finance,78,82,g. 07,g. 07
630637,3rd,Political Science,Mathematics and Statistics,58,63,g. 02,g. 02
704386,3rd,Mathematics and Statistics,Social Sciences,87,87,g. 10,g. 10
752044,3rd,Biology,Environmental Sciences,67,78,g. 04,g. 04
251582,3rd,Biology,Mathematics and Statistics,78,77,g. 07,g. 07
635236,4th,Mathematics and Statistics,Social Sciences,88,92,g. 10,g. 10
540181,4th,Environmental Sciences,Economics and Finance,73,69,g. 07,g. 12
667472,4th,Social Sciences,Environmental Sciences,48,42,g. 00,g. 00
298182,5th,Economics and Finance,Mathematics and Statistics,62,67,g. 04,g. 04
481558,>6th,Economics and Finance,Social Sciences,65,72,g. 04,g. 04
665823,4th,Mathematics and Statistics,Biology,88,90,g. 10,g. 10
202012,5th,Biology,Social Sciences,76,75,g. 07,g. 07
512261,4th,Economics and Finance,Environmental Sciences,71,67,g. 07,g. 12
513875,4th,Economics and Finance,Biology,67,67,g. 04,g. 04
168863,4th,Economics and Finance,Social Sciences,67,70,g. 04,g. 04
445871,5th,Biology,Mathematics and Statistics,85,81,g. 10,g. 10
350814,3rd,Social Sciences,Biology,44,44,g. 00,g. 00
747244,5th,Economics and Finance,Environmental Sciences,69,67,g. 04,g. 04
388967,3rd,Environmental Sciences,Political Science,65,72,g. 04,g. 04
647407,3rd,Economics and Finance,Political Science,69,54,g. 04,g. 12
952649,>6th,Political Science,Environmental Sciences,60,55,g. 04,g. 12
629063,3rd,Biology,Political Science,74,82,g. 07,g. 07
729579,4th,Mathematics and Statistics,Political Science,87,93,g. 10,g. 10
243014,5th,Mathematics and Statistics,Political Science,90,87,g. 12,g. 12
893193,5th,Biology,Economics and Finance,71,78,g. 07,g. 07
543466,6th,Economics and Finance,Social Sciences,65,61,g. 04,g. 04
824076,3rd,Political Science,Social Sciences,52,63,g. 02,g. 02
714061,4th,Political Science,Biology,50,58,g. 02,g. 02
516874,3rd,Biology,Political Science,74,75,g. 07,g. 07
186220,>6th,Social Sciences,Biology,37,60,g. 00,g. 00
669002,3rd,Mathematics and Statistics,Social Sciences,89,85,g. 10,g. 10
482518,6th,Environmental Sciences,Social Sciences,69,80,g. 04,g. 04
407261,4th,Economics and Finance,Biology,62,59,g. 04,g. 12
185325,4th,Political Science,Economics and Finance,67,57,g. 04,g. 12
766664,>6th,Environmental Sciences,Mathematics and Statistics,75,82,g. 07,g. 07
762595,4th,Economics and Finance,Mathematics and Statistics,67,66,g. 04,g. 04
520343,6th,Mathematics and Statistics,Economics and Finance,84,92,g. 10,g. 10
491571,5th,Social Sciences,Environmental Sciences,37,46,g. 00,g. 00
577119,6th,Social Sciences,Environmental Sciences,49,35,g. 00,g. 00
131665,3rd,Social Sciences,Environmental Sciences,41,44,g. 00,g. 00
888933,3rd,Political Science,Environmental Sciences,60,59,g. 04,g. 12
143686,3rd,Political Science,Environmental Sciences,54,56,g. 02,g. 02
354338,4th,Environmental Sciences,Biology,72,73,g. 07,g. 07
638876,4th,Environmental Sciences,Biology,69,78,g. 04,g. 04
440403,3rd,Biology,Environmental Sciences,76,76,g. 07,g. 07
863615,5th,Environmental Sciences,Economics and Finance,72,73,g. 07,g. 07
894922,3rd,Mathematics and Statistics,Social Sciences,88,87,g. 10,g. 10
922218,3rd,Political Science,Economics and Finance,50,58,g. 02,g. 02
635655,4th,Political Science,Mathematics and Statistics,49,62,g. 00,g. 00
186285,6th,Mathematics and Statistics,Biology,88,91,g. 10,g. 10
659921,5th,Mathematics and Statistics,Biology,93,87,g. 12,g. 12
968176,4th,Mathematics and Statistics,Biology,80,89,g. 10,g. 10
901241,3rd,Economics and Finance,Political Science,71,64,g. 07,g. 12
195151,3rd,Biology,Environmental Sciences,85,87,g. 10,g. 10
813853,5th,Biology,Political Science,72,82,g. 07,g. 07
652714,3rd,Biology,Environmental Sciences,82,76,g. 10,g. 12
297472,3rd,Environmental Sciences,Mathematics and Statistics,70,73,g. 07,g. 07
304740,3rd,Economics and Finance,Social Sciences,62,64,g. 04,g. 04
946346,6th,Biology,Economics and Finance,76,70,g. 07,g. 07
868067,5th,Political Science,Biology,51,56,g. 02,g. 02
584261,3rd,Economics and Finance,Political Science,66,65,g. 04,g. 04
924207,3rd,Economics and Finance,Political Science,64,66,g. 04,g. 04
617524,4th,Political Science,Environmental Sciences,49,61,g. 00,g. 00
163772,4th,Environmental Sciences,Economics and Finance,76,67,g. 07,g. 12
496356,3rd,Political Science,Biology,58,53,g. 02,g. 02
153149,5th,Biology,Social Sciences,72,75,g. 07,g. 07
583966,4th,Environmental Sciences,Economics and Finance,70,75,g. 07,g. 07
329167,5th,Economics and Finance,Social Sciences,66,69,g. 04,g. 04
905586,5th,Economics and Finance,Environmental Sciences,64,66,g. 04,g. 04
559035,6th,Mathematics and Statistics,Social Sciences,87,94,g. 10,g. 10
692278,4th,Political Science,Environmental Sciences,49,61,g. 00,g. 00
234067,3rd,Mathematics and Statistics,Biology,92,85,g. 12,g. 12
211707,>6th,Biology,Mathematics and Statistics,74,76,g. 07,g. 07
661029,3rd,Environmental Sciences,Mathematics and Statistics,68,73,g. 04,g. 04
682388,3rd,Biology,Social Sciences,79,74,g. 07,g. 07
531327,5th,Economics and Finance,Environmental Sciences,71,68,g. 07,g. 12
202610,4th,Social Sciences,Environmental Sciences,49,42,g. 00,g. 00
604937,5th,Political Science,Social Sciences,53,47,g. 02,g. 12
791913,5th,Biology,Mathematics and Statistics,81,77,g. 10,g. 12
347250,5th,Political Science,Environmental Sciences,53,57,g. 02,g. 02
788263,3rd,Biology,Political Science,73,86,g. 07,g. 07
814407,3rd,Environmental Sciences,Political Science,73,72,g. 07,g. 07
110615,6th,Social Sciences,Environmental Sciences,45,40,g. 00,g. 00
303136,4th,Biology,Mathematics and Statistics,78,82,g. 07,g. 07
566262,6th,Economics and Finance,Biology,61,72,g. 04,g. 04
355357,3rd,Biology,Economics and Finance,75,75,g. 07,g. 07
589783,3rd,Environmental Sciences,Biology,69,77,g. 04,g. 04
685552,5th,Environmental Sciences,Political Science,65,70,g. 04,g. 04
500052,3rd,Social Sciences,Biology,43,42,g. 00,g. 00
889652,4th,Biology,Mathematics and Statistics,77,82,g. 07,g. 07
606531,4th,Political Science,Mathematics and Statistics,49,58,g. 00,g. 00
555871,4th,Political Science,Social Sciences,60,53,g. 04,g. 12
214356,4th,Mathematics and Statistics,Biology,89,95,g. 10,g. 10
276507,3rd,Social Sciences,Mathematics and Statistics,58,48,g. 02,g. 12
177373,3rd,Mathematics and Statistics,Social Sciences,91,89,g. 12,g. 12
395800,6th,Economics and Finance,Environmental Sciences,63,70,g. 04,g. 04
673553,>6th,Political Science,Social Sciences,57,60,g. 02,g. 02
729418,3rd,Biology,Political Science,74,80,g. 07,g. 07
133898,4th,Biology,Social Sciences,73,74,g. 07,g. 07
377850,3rd,Economics and Finance,Political Science,66,66,g. 04,g. 04
926398,>6th,Social Sciences,Economics and Finance,47,44,g. 00,g. 00
913717,4th,Environmental Sciences,Social Sciences,76,67,g. 07,g. 12
616552,4th,Political Science,Environmental Sciences,68,59,g. 04,g. 12
759497,5th,Economics and Finance,Political Science,67,68,g. 04,g. 04
233887,3rd,Environmental Sciences,Mathematics and Statistics,65,76,g. 04,g. 04
336410,4th,Environmental Sciences,Political Science,67,70,g. 04,g. 04
733568,4th,Social Sciences,Political Science,46,44,g. 00,g. 00
801782,5th,Mathematics and Statistics,Biology,85,86,g. 10,g. 10
173492,4th,Social Sciences,Environmental Sciences,47,40,g. 00,g. 00
243384,3rd,Social Sciences,Political Science,37,47,g. 00,g. 00
886844,4th,Mathematics and Statistics,Biology,94,90,g. 12,g. 12
849662,5th,Political Science,Economics and Finance,61,51,g. 04,g. 12
302978,4th,Biology,Mathematics and Statistics,81,86,g. 10,g. 10
764571,6th,Economics and Finance,Biology,63,67,g. 04,g. 04
555354,5th,Mathematics and Statistics,Social Sciences,87,87,g. 10,g. 10
893072,4th,Political Science,Biology,50,55,g. 02,g. 02
353524,3rd,Environmental Sciences,Political Science,70,73,g. 07,g. 07
321581,4th,Political Science,Biology,57,60,g. 02,g. 02
755959,5th,Environmental Sciences,Economics and Finance,73,77,g. 07,g. 07
251073,4th,Economics and Finance,Mathematics and Statistics,73,65,g. 07,g. 12
169014,6th,Environmental Sciences,Social Sciences,78,76,g. 07,g. 07
750285,6th,Economics and Finance,Mathematics and Statistics,68,67,g. 04,g. 04
212115,6th,Environmental Sciences,Political Science,68,66,g. 04,g. 04
343909,4th,Environmental Sciences,Political Science,64,73,g. 04,g. 04
145771,4th,Economics and Finance,Mathematics and Statistics,60,67,g. 04,g. 04
872739,4th,Political Science,Environmental Sciences,61,53,g. 04,g. 12
127324,5th,Social Sciences,Political Science,43,38,g. 00,g. 00
353705,4th,Economics and Finance,Social Sciences,67,62,g. 04,g. 04
901238,6th,Biology,Political Science,83,80,g. 10,g. 10
152711,4th,Economics and Finance,Mathematics and Statistics,67,66,g. 04,g. 04
661707,4th,Mathematics and Statistics,Environmental Sciences,87,90,g. 10,g. 10
386370,3rd,Environmental Sciences,Social Sciences,68,74,g. 04,g. 04
191101,3rd,Biology,Economics and Finance,72,80,g. 07,g. 07
345538,4th,Social Sciences,Political Science,43,38,g. 00,g. 00
861505,4th,Biology,Social Sciences,80,84,g. 10,g. 10
902110,>6th,Environmental Sciences,Economics and Finance,74,74,g. 07,g. 07
211697,4th,Political Science,Social Sciences,60,51,g. 04,g. 12
339063,4th,Mathematics and Statistics,Economics and Finance,84,79,g. 10,g. 12
492770,6th,Biology,Environmental Sciences,78,74,g. 07,g. 07
527029,4th,Economics and Finance,Mathematics and Statistics,67,77,g. 04,g. 04
745366,4th,Political Science,Environmental Sciences,50,51,g. 02,g. 02
761067,6th,Mathematics and Statistics,Economics and Finance,85,89,g. 10,g. 10
